,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,115.82,115.82,2016-12-30,117.199997,115.43,116.650002,AAPL,30253100
1,116.730003,116.730003,2016-12-29,117.110001,116.400002,116.449997,AAPL,14963300
2,116.760002,116.760002,2016-12-28,118.019997,116.199997,117.519997,AAPL,20582000
3,117.260002,117.260002,2016-12-27,117.800003,116.489998,116.519997,AAPL,18071900
4,116.519997,116.519997,2016-12-23,116.519997,115.589996,115.589996,AAPL,14181200
5,116.290001,116.290001,2016-12-22,116.510002,115.639999,116.349998,AAPL,25789800
6,117.059998,117.059998,2016-12-21,117.400002,116.779999,116.800003,AAPL,24216900
7,116.949997,116.949997,2016-12-20,117.50,116.68,116.739998,AAPL,20905800
8,116.639999,116.639999,2016-12-19,117.379997,115.75,115.800003,AAPL,27675400
9,115.970001,115.970001,2016-12-16,116.50,115.650002,116.470001,AAPL,44055400
10,115.82,115.82,2016-12-15,116.730003,115.230003,115.379997,AAPL,46232200
11,115.190002,115.190002,2016-12-14,116.199997,114.980003,115.040001,AAPL,33433200
12,115.190002,115.190002,2016-12-13,115.919998,113.75,113.839996,AAPL,43167500
13,113.300003,113.300003,2016-12-12,115.00,112.489998,113.290001,AAPL,26149100
14,113.949997,113.949997,2016-12-09,114.699997,112.309998,112.309998,AAPL,34274100
15,112.120003,112.120003,2016-12-08,112.43,110.599998,110.860001,AAPL,26818500
16,111.029999,111.029999,2016-12-07,111.190002,109.160004,109.260002,AAPL,29853000
17,109.949997,109.949997,2016-12-06,110.360001,109.190002,109.50,AAPL,26075900
18,109.110001,109.110001,2016-12-05,110.029999,108.25,110.00,AAPL,34037300
19,109.900002,109.900002,2016-12-02,110.089996,108.849998,109.169998,AAPL,26409800
20,109.489998,109.489998,2016-12-01,110.940002,109.029999,110.370003,AAPL,36825800
21,110.519997,110.519997,2016-11-30,112.199997,110.269997,111.599998,AAPL,35765000
22,111.459999,111.459999,2016-11-29,112.029999,110.07,110.779999,AAPL,28459300
23,111.57,111.57,2016-11-28,112.470001,111.389999,111.43,AAPL,27026600
24,111.790001,111.790001,2016-11-25,111.870003,110.949997,111.129997,AAPL,11424400
25,111.230003,111.230003,2016-11-23,111.510002,110.330002,111.360001,AAPL,27387900
26,111.800003,111.800003,2016-11-22,112.419998,111.400002,111.949997,AAPL,25922600
27,111.730003,111.730003,2016-11-21,111.989998,110.010002,110.120003,AAPL,29119100
28,110.059998,110.059998,2016-11-18,110.540001,109.660004,109.720001,AAPL,27404300
29,109.949997,109.949997,2016-11-17,110.349998,108.830002,109.809998,AAPL,26964600
30,109.989998,109.989998,2016-11-16,110.230003,106.599998,106.699997,AAPL,58702500
31,107.110001,107.110001,2016-11-15,107.68,106.160004,106.57,AAPL,32216900
32,105.709999,105.709999,2016-11-14,107.809998,104.080002,107.709999,AAPL,50872500
33,108.43,108.43,2016-11-11,108.870003,106.550003,107.120003,AAPL,34094100
34,107.790001,107.790001,2016-11-10,111.089996,105.830002,111.089996,AAPL,57134500
35,110.879997,110.879997,2016-11-09,111.32,108.050003,109.879997,AAPL,59176400
36,111.059998,111.059998,2016-11-08,111.720001,109.699997,110.309998,AAPL,24054500
37,110.410004,110.410004,2016-11-07,110.510002,109.459999,110.080002,AAPL,32560000
38,108.839996,108.839996,2016-11-04,110.25,108.110001,108.529999,AAPL,30837000
39,109.830002,109.830002,2016-11-03,111.459999,109.550003,110.980003,AAPL,26932600
40,111.019995,111.589996,2016-11-02,112.349998,111.230003,111.400002,AAPL,28331700
41,110.920507,111.489998,2016-11-01,113.769997,110.529999,113.459999,AAPL,43825800
42,112.960039,113.540001,2016-10-31,114.230003,113.199997,113.650002,AAPL,26419400
43,113.13912,113.720001,2016-10-28,115.209999,113.449997,113.870003,AAPL,37861700
44,113.89524,114.480003,2016-10-27,115.860001,114.099998,115.389999,AAPL,34562000
45,114.999563,115.589996,2016-10-26,115.699997,113.309998,114.309998,AAPL,66134200
46,117.645979,118.25,2016-10-25,118.360001,117.309998,117.949997,AAPL,48129000
47,117.049045,117.650002,2016-10-24,117.739998,117.00,117.099998,AAPL,23538700
48,116.004406,116.599998,2016-10-21,116.910004,116.279999,116.809998,AAPL,23192700
49,116.462055,117.059998,2016-10-20,117.379997,116.330002,116.860001,AAPL,24125800
50,116.521754,117.120003,2016-10-19,117.760002,113.800003,117.25,AAPL,20034600
51,116.869965,117.470001,2016-10-18,118.209999,117.449997,118.18,AAPL,24553500
52,116.949558,117.550003,2016-10-17,117.839996,116.779999,117.330002,AAPL,23624900
53,117.029143,117.629997,2016-10-14,118.169998,117.129997,117.879997,AAPL,35652200
54,116.38247,116.980003,2016-10-13,117.440002,115.720001,116.790001,AAPL,35192400
55,116.740624,117.339996,2016-10-12,117.980003,116.75,117.349998,AAPL,37586800
56,115.705943,116.300003,2016-10-11,118.690002,116.199997,117.699997,AAPL,64041000
57,115.45722,116.050003,2016-10-10,116.75,114.720001,115.019997,AAPL,36236000
58,113.477379,114.059998,2016-10-07,114.559998,113.510002,114.309998,AAPL,24358400
59,113.308249,113.889999,2016-10-06,114.339996,113.129997,113.699997,AAPL,28779300
60,112.472544,113.050003,2016-10-05,113.660004,112.690002,113.400002,AAPL,21453100
61,112.422796,113.00,2016-10-04,114.309998,112.629997,113.059998,AAPL,29736800
62,111.945245,112.519997,2016-10-03,113.050003,112.279999,112.709999,AAPL,21701800
63,112.472544,113.050003,2016-09-30,113.370003,111.800003,112.459999,AAPL,36379100
64,111.606985,112.18,2016-09-29,113.800003,111.800003,113.160004,AAPL,35887000
65,113.36794,113.949997,2016-09-28,114.639999,113.43,113.690002,AAPL,29641100
66,112.512333,113.089996,2016-09-27,113.18,112.339996,113.00,AAPL,24607400
67,112.303406,112.879997,2016-09-26,113.389999,111.550003,111.639999,AAPL,29869400
68,112.134277,112.709999,2016-09-23,114.790001,111.550003,114.419998,AAPL,52481200
69,114.034524,114.620003,2016-09-22,114.940002,114.00,114.349998,AAPL,31074000
70,112.96999,113.550003,2016-09-21,113.989998,112.440002,113.849998,AAPL,36003200
71,112.989884,113.57,2016-09-20,114.120003,112.510002,113.050003,AAPL,34514300
72,112.999835,113.580002,2016-09-19,116.18,113.25,115.190002,AAPL,47023000
73,114.332987,114.919998,2016-09-16,116.129997,114.040001,115.120003,AAPL,79886900
74,114.979668,115.57,2016-09-15,115.730003,113.489998,113.860001,AAPL,89983600
75,111.199076,111.769997,2016-09-14,113.029999,108.599998,108.730003,AAPL,110888700
76,107.398588,107.949997,2016-09-13,108.790001,107.239998,107.510002,AAPL,62176200
77,104.901415,105.440002,2016-09-12,105.720001,102.529999,102.650002,AAPL,45292800
78,102.603209,103.129997,2016-09-09,105.720001,103.129997,104.639999,AAPL,46557000
79,104.981001,105.519997,2016-09-08,107.269997,105.239998,107.25,AAPL,53002000
80,107.806498,108.360001,2016-09-07,108.760002,107.07,107.830002,AAPL,42364300
81,107.149865,107.699997,2016-09-06,108.300003,107.510002,107.900002,AAPL,26880400
82,107.179719,107.730003,2016-09-02,108.00,106.82,107.699997,AAPL,26802500
83,106.184827,106.730003,2016-09-01,106.800003,105.620003,106.139999,AAPL,26701500
84,105.55804,106.099998,2016-08-31,106.57,105.639999,105.660004,AAPL,29662400
85,105.458552,106.00,2016-08-30,106.50,105.50,105.800003,AAPL,24863900
86,106.274363,106.82,2016-08-29,107.440002,106.290001,106.620003,AAPL,24970300
87,106.393753,106.940002,2016-08-26,107.949997,106.309998,107.410004,AAPL,27766300
88,107.020532,107.57,2016-08-25,107.879997,106.68,107.389999,AAPL,25086200
89,107.478182,108.029999,2016-08-24,108.75,107.68,108.57,AAPL,23675100
90,108.293993,108.849998,2016-08-23,109.32,108.529999,108.589996,AAPL,21257700
91,107.955733,108.510002,2016-08-22,109.099998,107.849998,108.860001,AAPL,25820200
92,108.80139,109.360001,2016-08-19,109.690002,108.360001,108.769997,AAPL,25368100
93,108.522821,109.080002,2016-08-18,109.599998,109.019997,109.230003,AAPL,21984700
94,108.662106,109.220001,2016-08-17,109.370003,108.339996,109.099998,AAPL,25356000
95,108.821284,109.379997,2016-08-16,110.230003,109.209999,109.629997,AAPL,33794400
96,108.92078,109.480003,2016-08-15,109.540001,108.080002,108.139999,AAPL,25868200
